Statistical profiling result from nobloq.log, (2768 ticks, 0 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
   1195   43.2%          /usr/lib/x86_64-linux-gnu/libnode.so.72
     65    2.3%          /usr/lib/x86_64-linux-gnu/libc.so.6
     48    1.7%          /usr/lib/x86_64-linux-gnu/libuv.so.1.0.0
      2    0.1%          [vdso]
      2    0.1%          /usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.29

 [JavaScript]:
   ticks  total  nonlib   name
      2    0.1%    0.1%  RegExp: file:\/\/\/home\/diego\/Documents\/Work\/coderhouse\/clases\/06-11-2021\/desafios\/log4js\/server\.js|\/home\/diego\/Documents\/Work\/coderhouse\/clases\/06-11-2021\/desafios\/log4js\/server\.js
      2    0.1%    0.1%  LazyCompile: *next /home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/node_modules/express/lib/router/index.js:176:16
      1    0.0%    0.1%  RegExp: file:\/\/\/home\/diego\/Documents\/Work\/coderhouse\/clases\/06-11-2021\/desafios\/log4js\/server\.js|\/home\/diego\/Documents\/Work\/coderhouse\/clases\/06-11-2021\/desafios\/log4js\/server\.js {1}
      1    0.0%    0.1%  RegExp: ^text\/|^application\/(javascript|json)
      1    0.0%    0.1%  LazyCompile: *nextTick internal/process/task_queues.js:105:18
      1    0.0%    0.1%  LazyCompile: *fastparse /home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/node_modules/parseurl/index.js:95:20

 [C++]:
   ticks  total  nonlib   name
    849   30.7%   58.3%  epoll_pwait@@GLIBC_2.6
    101    3.6%    6.9%  node::SyncProcessRunner::Spawn(v8::FunctionCallbackInfo<v8::Value> const&)
     77    2.8%    5.3%  node::native_module::NativeModuleEnv::CompileFunction(v8::FunctionCallbackInfo<v8::Value> const&)
     77    2.8%    5.3%  node::contextify::ContextifyContext::CompileFunction(v8::FunctionCallbackInfo<v8::Value> const&)
     76    2.7%    5.2%  node::crypto::PBKDF2(v8::FunctionCallbackInfo<v8::Value> const&)
     65    2.3%    4.5%  void node::StreamBase::JSMethod<&node::StreamBase::Writev>(v8::FunctionCallbackInfo<v8::Value> const&)
     42    1.5%    2.9%  __write@@GLIBC_2.2.5
     26    0.9%    1.8%  void node::StreamBase::JSMethod<&(int node::StreamBase::WriteString<(node::encoding)1>(v8::FunctionCallbackInfo<v8::Value> const&))>(v8::FunctionCallbackInfo<v8::Value> const&)
     22    0.8%    1.5%  __sched_yield@@GLIBC_2.2.5
     10    0.4%    0.7%  node::crypto::Hash::New(v8::FunctionCallbackInfo<v8::Value> const&)
     10    0.4%    0.7%  fwrite@@GLIBC_2.2.5
      6    0.2%    0.4%  node::AsyncWrapObject::New(v8::FunctionCallbackInfo<v8::Value> const&)
      6    0.2%    0.4%  __mprotect@@GLIBC_PRIVATE
      5    0.2%    0.3%  node::binding::GetInternalBinding(v8::FunctionCallbackInfo<v8::Value> const&)
      5    0.2%    0.3%  __libc_malloc@@GLIBC_2.2.5
      4    0.1%    0.3%  v8::internal::FunctionCallbackArguments::Call(v8::internal::CallHandlerInfo)
      4    0.1%    0.3%  std::basic_ostream<char, std::char_traits<char> >& std::__ostream_insert<char, std::char_traits<char> >(std::basic_ostream<char, std::char_traits<char> >&, char const*, long)@@GLIBCXX_3.4.9
      3    0.1%    0.2%  node::crypto::Hash::HashDigest(v8::FunctionCallbackInfo<v8::Value> const&)
      3    0.1%    0.2%  __pthread_mutex_lock@GLIBC_2.2.5
      2    0.1%    0.1%  v8::internal::Accessors::FunctionPrototypeGetter(v8::Local<v8::Name>, v8::PropertyCallbackInfo<v8::Value> const&)
      2    0.1%    0.1%  node::loader::ModuleWrap::New(v8::FunctionCallbackInfo<v8::Value> const&)
      2    0.1%    0.1%  node::LibuvStreamWrap::OnUvAlloc(unsigned long, uv_buf_t*)
      2    0.1%    0.1%  node::InternalCallbackScope::InternalCallbackScope(node::Environment*, v8::Local<v8::Object>, node::async_context const&, int)
      2    0.1%    0.1%  __read@@GLIBC_2.2.5
      1    0.0%    0.1%  v8::internal::VariableMap::Lookup(v8::internal::AstRawString const*)
      1    0.0%    0.1%  v8::internal::Variable* v8::internal::Scope::Lookup<(v8::internal::Scope::ScopeLookupMode)0>(v8::internal::VariableProxy*, v8::internal::Scope*, v8::internal::Scope*, v8::internal::Scope*, bool)
      1    0.0%    0.1%  v8::internal::SequentialStringKey<unsigned char>::IsMatch(v8::internal::String)
      1    0.0%    0.1%  v8::internal::Scope::ResolveVariablesRecursively(v8::internal::ParseInfo*)
      1    0.0%    0.1%  v8::internal::Scope::GetDeclarationScope()
      1    0.0%    0.1%  v8::internal::Scope::DeclareLocal(v8::internal::AstRawString const*, v8::internal::VariableMode, v8::internal::VariableKind, bool*, v8::internal::InitializationFlag)
      1    0.0%    0.1%  v8::internal::Scope::AllocateVariablesRecursively()
      1    0.0%    0.1%  v8::internal::MarkingBarrier(v8::internal::HeapObject, v8::internal::FullObjectSlot, v8::internal::Object)
      1    0.0%    0.1%  v8::internal::FunctionCallbackArguments::FunctionCallbackArguments(v8::internal::Isolate*, v8::internal::Object, v8::internal::HeapObject, v8::internal::Object, v8::internal::HeapObject, unsigned long*, int)
      1    0.0%    0.1%  v8::internal::Expression::IsNumberLiteral() const
      1    0.0%    0.1%  v8::internal::DeclarationScope::SetDefaults()
      1    0.0%    0.1%  v8::internal::Compiler::Compile(v8::internal::Handle<v8::internal::JSFunction>, v8::internal::Compiler::ClearExceptionFlag, v8::internal::IsCompiledScope*)
